email;courseCompletion;courseEngagement;projectDegree;teamProjectDegree;bonusProjectUrls
thomas.dev666@gmail.com;1.44;1.64;2.79;0.13;"https://github.com/Fremen1990/head-hunter-backend","https://github.com/Fremen1990/head-hunter-frontend"
balchen@mac.com;0.97;4.70;3.64;4.77;"https://github.com/Fremen1990/React-Global-State-Management","https://github.com/Fremen1990/React-Global-State-Management"
pierce@comcast.net;3.00;1.42;3.54;2.50;"https://github.com/Fremen1990/React-Global-State-Management","https://github.com/Fremen1990/React-Global-State-Management"
csilvers@mac.com;4.02;1.33;4.58;4.44;"https://github.com/Fremen1990/React-Global-State-Management","https://github.com/Fremen1990/React-Global-State-Management"
kludge@msn.com;4.90;1.18;2.57;3.48;"https://github.com/Fremen1990/React-Global-State-Management","https://github.com/Fremen1990/React-Global-State-Management"
njpayne@outlook.com;3.55;1.15;3.78;0.92;"https://github.com/Fremen1990/React-Global-State-Management","https://github.com/Fremen1990/React-Global-State-Management"
simone@sbcglobal.net;3.55;2.24;2.42;4.38;"https://github.com/Fremen1990/React-Global-State-Management","https://github.com/Fremen1990/React-Global-State-Management"
mddallara@att.net;3.97;4.04;1.80;3.73;"https://github.com/Fremen1990/React-Global-State-Management","https://github.com/Fremen1990/React-Global-State-Management"
bebing@optonline.net;2.61;2.37;0.66;0.70;"https://github.com/Fremen1990/React-Global-State-Management","https://github.com/Fremen1990/React-Global-State-Management"
makarow@hotmail.com;2.67;3.57;1.93;1.86;"https://github.com/Fremen1990/React-Global-State-Management","https://github.com/Fremen1990/React-Global-State-Management"
gozer@hotmail.com;4.53;4.77;1.96;4.77;"https://github.com/Fremen1990/React-Global-State-Management","https://github.com/Fremen1990/React-Global-State-Management"
barlow@comcast.net;1.83;0.57;4.07;1.70;"https://github.com/Fremen1990/React-Global-State-Management","https://github.com/Fremen1990/React-Global-State-Management"
jrkorson@gmail.com;2.60;0.61;0.78;3.97;"https://github.com/Fremen1990/React-Global-State-Management","https://github.com/Fremen1990/React-Global-State-Management"
mwitte@mac.com;4.54;2.19;2.10;1.49;"https://github.com/Fremen1990/React-Global-State-Management","https://github.com/Fremen1990/React-Global-State-Management"
forsberg@att.net;1.09;4.22;4.36;2.18;"https://github.com/Fremen1990/React-Global-State-Management","https://github.com/Fremen1990/React-Global-State-Management"
sekiya@live.com;4.37;4.76;1.76;4.67;"https://github.com/Fremen1990/React-Global-State-Management","https://github.com/Fremen1990/React-Global-State-Management"
lukka@live.com;1.32;4.46;1.07;3.28;"https://github.com/Fremen1990/React-Global-State-Management","https://github.com/Fremen1990/React-Global-State-Management"
chaikin@mac.com;3.81;2.40;4.37;0.43;"https://github.com/Fremen1990/React-Global-State-Management","https://github.com/Fremen1990/React-Global-State-Management"
jacks@outlook.com;4.88;1.11;0.10;3.00;"https://github.com/Fremen1990/React-Global-State-Management","https://github.com/Fremen1990/React-Global-State-Management"
earmstro@aol.com;1.00;3.02;0.25;4.91;"https://github.com/Fremen1990/React-Global-State-Management","https://github.com/Fremen1990/React-Global-State-Management"
