email;role;courseCompletion;courseEngagement;projectDegree;teamProjectDegree;bonusProjectUrls
thomas.dev@gmail.com;student;4;4;4;5;[https://github.com/Fremen1990/head-hunter-backend, https://github.com/Fremen1990/head-hunter-frontend ]
taomas.dev@gmail.com;student;4;4;4;5;[https://github.com/Fremen1990/head-hunter-backend, https://github.com/Fremen1990/head-hunter-frontend ]
tdomas.dev@gmail.com;student;4;4;4;5;[https://github.com/Fremen1990/head-hunter-backend, https://github.com/Fremen1990/head-hunter-frontend ]
tfomas.dev@gmail.com;student;4;4;4;5;[https://github.com/Fremen1990/head-hunter-backend, https://github.com/Fremen1990/head-hunter-frontend ]
tgomas.dev@gmail.com;student;4;4;4;5;[https://github.com/Fremen1990/head-hunter-backend, https://github.com/Fremen1990/head-hunter-frontend ]
tkomas.dev@gmail.com;student;4;4;4;5;[https://github.com/Fremen1990/head-hunter-backend, https://github.com/Fremen1990/head-hunter-frontend ]
tjomas.dev@gmail.com;student;4;4;4;5;[https://github.com/Fremen1990/head-hunter-backend, https://github.com/Fremen1990/head-hunter-frontend ]
tzomas.dev@gmail.com;student;4;4;4;5;[https://github.com/Fremen1990/head-hunter-backend, https://github.com/Fremen1990/head-hunter-frontend ]
tcomas.dev@gmail.com;student;4;4;4;5;[https://github.com/Fremen1990/head-hunter-backend, https://github.com/Fremen1990/head-hunter-frontend ]
tnomas.dev@gmail.com;student;4;4;4;5;[https://github.com/Fremen1990/head-hunter-backend, https://github.com/Fremen1990/head-hunter-frontend ]
